Start: 1710135615561, Latency: 195, Request Type: POST, Response Code: 201
Start: 1710135615562, Latency: 194, Request Type: POST, Response Code: 201
Start: 1710135615562, Latency: 194, Request Type: POST, Response Code: 201
Start: 1710135615567, Latency: 190, Request Type: POST, Response Code: 201
Start: 1710135615569, Latency: 188, Request Type: POST, Response Code: 201
Start: 1710135615573, Latency: 187, Request Type: POST, Response Code: 201
Start: 1710135615574, Latency: 188, Request Type: POST, Response Code: 201
Start: 1710135615576, Latency: 186, Request Type: POST, Response Code: 201
Start: 1710135615577, Latency: 202, Request Type: POST, Response Code: 201
Start: 1710135615578, Latency: 201, Request Type: POST, Response Code: 201
Start: 1710135615580, Latency: 199, Request Type: POST, Response Code: 201
Start: 1710135615581, Latency: 199, Request Type: POST, Response Code: 201
Start: 1710135615657, Latency: 124, Request Type: POST, Response Code: 201
Start: 1710135615661, Latency: 121, Request Type: POST, Response Code: 201
Start: 1710135615662, Latency: 121, Request Type: POST, Response Code: 201
Start: 1710135615664, Latency: 182, Request Type: POST, Response Code: 201
Start: 1710135615665, Latency: 182, Request Type: POST, Response Code: 201
Start: 1710135615666, Latency: 189, Request Type: POST, Response Code: 201
Start: 1710135615670, Latency: 186, Request Type: POST, Response Code: 201
Start: 1710135615672, Latency: 185, Request Type: POST, Response Code: 201
Start: 1710135615676, Latency: 181, Request Type: POST, Response Code: 201
Start: 1710135615676, Latency: 181, Request Type: POST, Response Code: 201
Start: 1710135615676, Latency: 181, Request Type: POST, Response Code: 201
Start: 1710135615678, Latency: 180, Request Type: POST, Response Code: 201
Start: 1710135615679, Latency: 179, Request Type: POST, Response Code: 201
Start: 1710135615748, Latency: 110, Request Type: POST, Response Code: 201
Start: 1710135615750, Latency: 109, Request Type: POST, Response Code: 201
Start: 1710135615753, Latency: 106, Request Type: POST, Response Code: 201
Start: 1710135615753, Latency: 106, Request Type: POST, Response Code: 201
Start: 1710135615758, Latency: 102, Request Type: POST, Response Code: 201
Start: 1710135615758, Latency: 107, Request Type: POST, Response Code: 201
Start: 1710135615759, Latency: 106, Request Type: POST, Response Code: 201
Start: 1710135615759, Latency: 106, Request Type: POST, Response Code: 201
Start: 1710135615759, Latency: 110, Request Type: POST, Response Code: 201
Start: 1710135615760, Latency: 113, Request Type: POST, Response Code: 201
Start: 1710135615760, Latency: 114, Request Type: POST, Response Code: 201
Start: 1710135615760, Latency: 116, Request Type: POST, Response Code: 201
Start: 1710135615761, Latency: 121, Request Type: POST, Response Code: 201
Start: 1710135615762, Latency: 122, Request Type: POST, Response Code: 201
Start: 1710135615763, Latency: 123, Request Type: POST, Response Code: 201
Start: 1710135615780, Latency: 108, Request Type: POST, Response Code: 201
Start: 1710135615781, Latency: 108, Request Type: POST, Response Code: 201
Start: 1710135615781, Latency: 111, Request Type: POST, Response Code: 201
Start: 1710135615781, Latency: 112, Request Type: POST, Response Code: 201
Start: 1710135615782, Latency: 112, Request Type: POST, Response Code: 201
Start: 1710135615782, Latency: 162, Request Type: POST, Response Code: 201
Start: 1710135615784, Latency: 162, Request Type: POST, Response Code: 201
Start: 1710135615847, Latency: 100, Request Type: POST, Response Code: 201
Start: 1710135615847, Latency: 101, Request Type: POST, Response Code: 201
Start: 1710135615858, Latency: 95, Request Type: POST, Response Code: 201
Start: 1710135615859, Latency: 97, Request Type: POST, Response Code: 201
Start: 1710135615860, Latency: 99, Request Type: POST, Response Code: 201
Start: 1710135615860, Latency: 99, Request Type: POST, Response Code: 201
Start: 1710135615860, Latency: 99, Request Type: POST, Response Code: 201
Start: 1710135615860, Latency: 100, Request Type: POST, Response Code: 201
Start: 1710135615860, Latency: 101, Request Type: POST, Response Code: 201
Start: 1710135615861, Latency: 101, Request Type: POST, Response Code: 201
Start: 1710135615861, Latency: 102, Request Type: POST, Response Code: 201
Start: 1710135615862, Latency: 104, Request Type: POST, Response Code: 201
Start: 1710135615862, Latency: 105, Request Type: POST, Response Code: 201
Start: 1710135615862, Latency: 183, Request Type: POST, Response Code: 201
Start: 1710135615863, Latency: 186, Request Type: POST, Response Code: 201
Start: 1710135615865, Latency: 186, Request Type: POST, Response Code: 201
Start: 1710135615865, Latency: 186, Request Type: POST, Response Code: 201
Start: 1710135615866, Latency: 186, Request Type: POST, Response Code: 201
Start: 1710135615869, Latency: 183, Request Type: POST, Response Code: 201
Start: 1710135615874, Latency: 178, Request Type: POST, Response Code: 201
Start: 1710135615875, Latency: 179, Request Type: POST, Response Code: 201
Start: 1710135615877, Latency: 178, Request Type: POST, Response Code: 201
Start: 1710135615883, Latency: 172, Request Type: POST, Response Code: 201
Start: 1710135615885, Latency: 170, Request Type: POST, Response Code: 201
Start: 1710135615887, Latency: 175, Request Type: POST, Response Code: 201
Start: 1710135615889, Latency: 174, Request Type: POST, Response Code: 201
Start: 1710135615889, Latency: 175, Request Type: POST, Response Code: 201
Start: 1710135615892, Latency: 172, Request Type: POST, Response Code: 201
Start: 1710135615894, Latency: 171, Request Type: POST, Response Code: 201
Start: 1710135615894, Latency: 172, Request Type: POST, Response Code: 201
Start: 1710135615945, Latency: 123, Request Type: POST, Response Code: 201
Start: 1710135615948, Latency: 121, Request Type: POST, Response Code: 201
Start: 1710135615948, Latency: 122, Request Type: POST, Response Code: 201
Start: 1710135615949, Latency: 123, Request Type: POST, Response Code: 201
Start: 1710135615954, Latency: 118, Request Type: POST, Response Code: 201
Start: 1710135615956, Latency: 117, Request Type: POST, Response Code: 201
Start: 1710135615959, Latency: 115, Request Type: POST, Response Code: 201
Start: 1710135615960, Latency: 114, Request Type: POST, Response Code: 201
Start: 1710135615960, Latency: 121, Request Type: POST, Response Code: 201
Start: 1710135615961, Latency: 183, Request Type: POST, Response Code: 201
Start: 1710135615962, Latency: 184, Request Type: POST, Response Code: 201
Start: 1710135615963, Latency: 184, Request Type: POST, Response Code: 201
Start: 1710135615964, Latency: 185, Request Type: POST, Response Code: 201
Start: 1710135615966, Latency: 185, Request Type: POST, Response Code: 201
Start: 1710135615967, Latency: 186, Request Type: POST, Response Code: 201
